RunIndex,TrialIndex,Mode,Family,SubCase,TrueLabel,Observation,PredictedVerdict,Detection,IsCorrect,LatencyMicros
1,1,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,3,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,5,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,7,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,9,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,11,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,13,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,15,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,17,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,19,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,21,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,23,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,25,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,27,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,29,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,31,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,33,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,35,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,37,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,39,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,41,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,43,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,45,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,47,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,49,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,51,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,53,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,55,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,57,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,59,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,61,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,63,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,65,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,67,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,69,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,71,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,73,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,75,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,77,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,79,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,81,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,83,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,85,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,87,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,89,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,91,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,93,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,95,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,97,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,99,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,101,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,103,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,105,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,107,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,109,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,111,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,113,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,115,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,117,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,119,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,121,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,123,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,125,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,127,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,129,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,131,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,133,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,135,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,137,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,139,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,141,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
1,143,PRE_REMEDIATION,Source: Commit Author/Email Spoofing,Case B: Unsigned Commit (Author Spoofed),ATTACK,UNOBSERVED,TRUSTED,MISSED,false,12
