RunIndex,TrialIndex,Family,TrueLabel,PredictedVerdict,PredictedBreak,ExpectedBreak,IsCorrect,LatencyMicros
1,1,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,2,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,3,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,4,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,5,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,6,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,523
1,7,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,8,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,9,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,10,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,11,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,12,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,13,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,14,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,15,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,16,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,17,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,18,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,19,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,20,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,21,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,22,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,23,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,24,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,25,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,26,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,27,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,28,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,29,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,30,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,31,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,32,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,33,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,34,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,546
1,35,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,36,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,37,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,38,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,39,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,40,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,41,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,42,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,43,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,44,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,45,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,46,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,47,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,48,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,49,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,50,Source: Stealth Uncommitted Code,ATTACK,REJECTED,SOURCE,SOURCE,true,0
1,51,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,52,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,53,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,54,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,55,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,56,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,57,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,58,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,59,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,60,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,61,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,62,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,63,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,64,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,65,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,66,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,67,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,68,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,69,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,70,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,71,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,72,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,518
1,73,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,74,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,75,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,76,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,77,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,78,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,79,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,80,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,81,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,82,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,83,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,84,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,85,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,86,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,87,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,88,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,89,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,90,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,91,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,92,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,93,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,94,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,95,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,96,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,97,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,98,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,99,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,100,Source: Commit Author/Email Spoofing,ATTACK,TRUSTED,,SOURCE,false,0
1,101,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,102,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,103,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,104,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,105,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,106,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,107,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,108,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,507
1,109,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,110,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,111,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,112,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,113,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,114,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,115,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,116,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,117,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,118,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,119,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,120,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,121,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,122,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,123,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,124,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,125,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,126,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,127,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,128,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,129,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,130,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,131,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,132,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,133,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
1,134,Dependency: Compatible Semver Substitution,ATTACK,REJECTED,DEPENDENCIES,DEPENDENCIES,true,0
